Team,Opponent,Wins,Losses,ParentGame
Brazil,Chile,1,0,4
Colombia,Uruguay,1,0,15
France,Nigeria,1,0,5
Germany,Algeria,1,0,16
Brazil,Colombia,1,0,6
France,Germany,0,1,17
Brazil,Germany,0,1,7
Germany,Argentina,1,0,26
Netherlands,Mexico,1,0,12
CostaRica,Greece,1,0,22
Argentina,Switzerland,1,0,13
Belgium,UnitedStates,1,0,23
Netherlands,CostaRica,1,0,14
Argentina,Belgium,1,0,24
Netherlands,Argentina,0,1,25
Colombia,Brazil,0,1,6
Germany,France,1,0,17
Germany,Brazil,1,0,7
Mexico,Netherlands,0,1,12
Greece,CostaRica,0,1,22
Switzerland,Argentina,0,1,13
UnitedStates,Belgium,0,1,23
CostaRica,Netherlands,0,1,14
Belgium,Argentina,0,1,24
Argentina,Netherlands,1,0,25
Argentina,Germany,0,1,26
Germany,,1,0,
Nigeria,France,0,1,5
Algeria,Germany,0,1,16
Uruguay,Colombia,0,1,15
Chile,Brazil,0,1,4